SetID,Number,Variant,Theme,SubTheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,Image,ImageFilename,InstructionsAvailable,EAN,UPC
8399,"754","1","Trains","","1969","Left hand automatic point",,5,,,,"True","0754-1","",""
6738,"755","1","Trains","4.5/12 V","1974","Left and Right Points",,12,,,,"True","0755-1","",""
7973,"756","1","Trains","4.5/12 V","1974","Electric crossing",,5,,,,"True","0756-1","",""
8417,"759","1","Service Packs","","1985","Storage cabinet",,1,,,,"True","0759-1","",""
5231,"760","1","LEGOLAND","","1975","London Bus",,110,,49,,"True","0760-1","",""
5279,"770","1","LEGOLAND","","1976","Rescue Set",3,151,,,,"False","","",""
4003,"775","1","LEGOLAND","","1978","Fire Fighter",,133,,,,"True","0775-1","",""
5280,"780","1","LEGOLAND","","1976","Road Construction Set",,164,,,,"True","0780-1","",""
4041,"786","1","Basic","Supplementaries","1979","Storage Cloth",,1,,,,"False","","",""
4050,"787","1","Basic","Supplementaries","1977","Storage Cloth",,1,,,,"True","0787-1","",""
4054,"789","1","Basic","Supplementaries","1987","Storage Cloth",,1,,,,"True","0789-1","",""
7974,"789","2","Gear","Storage","1974","Suitcase, red",,,,,,"False","","",""
7975,"790","1","Gear","Storage","1974","Suitcase, blue",,,,,,"False","","",""
7457,"791","1","Gear","Storage","1972","Red Storage Box",,,,,,"False","","",""
7458,"792","1","Gear","Storage","1972","White Storage Box",,,,,,"False","","",""
7459,"793","1","Gear","Storage","1972","Blue Storage Box",,,,,,"False","","",""
7460,"794","1","Gear","Storage","1972","Storage Box",,,,,,"False","","",""
4073,"795","1","Basic","Supplementaries","1971","2 Large Baseplates, Red/Blue",,2,,2.1,,"True","0795-1","",""
4074,"796","1","Basic","Supplementaries","1971","2 Large Baseplates, Green/Yellow",,2,,2.1,,"True","0796-1","",""
7456,"797","1","Basic","Supplementaries","1971","2 Large Baseplates, Grey/White",,2,,,,"True","0797-1","",""
4077,"798","1","Basic","Supplementaries","1971","2 Medium Baseplates, Green",,2,,3.4,,"True","0798-1","",""
7351,"800","1","Universal Building Set","Gears","1970","Gears. Motor and Bricks",,120,,,,"True","0800-1","",""
4081,"800","2","Basic","Supplementaries","1986","Extra Bricks Red",,120,,4.75,,"False","","",""
7352,"801","1","Universal Building Set","Gears","1970","Gear Set",,115,,,,"True","0801-1","",""
4092,"801","2","Basic","Supplementaries","1986","Extra Bricks Blue",,82,,4.75,,"False","","",""
7353,"802","1","Universal Building Set","Gears","1970","Gear Supplement",,30,,,,"True","0802-1","",""
4097,"802","2","Basic","Supplementaries","1986","Extra Bricks White",,30,,4.75,,"False","","",""
4101,"803","1","Basic","Supplementaries","1986","Extra Bricks Yellow",,62,,4.75,,"False","","",""
7408,"803","2","Universal Building Set","Gears","1972","Gears, Bricks and Heavy Tires",,163,,,,"True","0803-2","",""
4106,"804","1","Basic","Supplementaries","1986","Extra Bricks Black",,62,,4.75,,"False","","",""
4110,"805","1","Basic","Supplementaries","1986","Extra Bricks Grey",,62,,4.75,,"False","","",""
4114,"806","1","Basic","Supplementaries","1986","Extra Plates Blue",,42,,,,"False","","",""
4117,"807","1","Basic","Supplementaries","1986","Extra Plates Red",,42,,,,"False","","",""
4119,"808","1","Basic","Supplementaries","1986","Wheels and Tyres",,40,,,,"False","","",""
4121,"809","1","Basic","Supplementaries","1986","Doors and Windows",,38,,,,"False","","",""
4125,"810","1","Basic","Supplementaries","1985","Basic Motor Set",,34,,26.5,,"True","0810-1","",""
7976,"810","3","Universal Building Set","Gears","1974","Gear set",,114,3.6,,,"True","0810-3","",""
4126,"811","1","Basic","Supplementaries","1986","Red Roof Bricks, Steep Pitch",,59,,,,"False","","",""
7977,"811","2","Universal Building Set","Gears","1974","Gear set",,177,,,,"True","0811-2","",""
4127,"812","1","Basic","Supplementaries","1986","Red Roof Bricks, Shallow Pitch",,101,,,,"False","","",""
6338,"812","2","LEGOLAND","","1974","Gear Set",,60,,,,"True","0812-2","",""
4128,"813","1","Basic","Supplementaries","1986","Baseplate, Green",,1,,4.5,,"False","","",""
6339,"813","2","LEGOLAND","","1974","Tractor",,100,2.55,,,"True","0813-2","",""
4129,"814","1","Basic","Supplementaries","1986","Baseplates, Green, Red and Yellow",,3,,3.9,,"False","","",""
7442,"814","2","Building Set with People","","1975","Tractor",,93,2.35,,,"True","0814-2","",""
4130,"815","1","Basic","Supplementaries","1986","Baseplate, Grey",,1,,7.5,,"False","","",""
4131,"816","1","Basic","Supplementaries","1986","Lighting Bricks, 4.5V",,18,,9.5,,"False","","5702010908165",""
4132,"818","1","Basic","Supplementaries","1990","Pull-Back Motor, Red",,8,,12.25,,"True","0818-1","",""
4133,"819","1","Basic","Supplementaries","1991","Sea Plate",,1,,5.5,,"False","","",""
4135,"820","1","Basic","Supplementaries","1980","Red Plates Parts Pack",,34,,4.75,,"False","","",""
4143,"821","1","Basic","Supplementaries","1992","Brick Separator, Grey",,1,,2.25,,"True","0821-1","",""
4151,"822","1","Basic","Supplementaries","1980","Blue Plates Parts Pack",,34,,4.75,,"False","","",""
4187,"830","1","Basic","Supplementaries","1980","Red Bricks Parts Pack",,46,,4.75,,"False","","",""
4191,"831","1","Basic","Supplementaries","1980","Black Bricks Parts Pack",,46,,4.75,,"False","","",""
4202,"832","1","Basic","Supplementaries","1980","Blue Bricks Parts Pack",,46,,4.75,,"False","","",""
4208,"833","1","Basic","Supplementaries","1980","White Bricks Parts Pack",,46,,4.75,,"False","","",""
4209,"834","1","Basic","Supplementaries","1980","Yellow Bricks Parts Pack",,46,,4.75,,"False","","",""
4218,"836","1","Basic","Supplementaries","1980","Doors and Windows Parts Pack",,37,,4.75,,"False","","",""
4226,"837","1","Basic","Supplementaries","1980","Wheels and Tyres Parts Pack",,28,,4.75,,"False","","",""
4233,"838","1","Basic","Supplementaries","1980","Red Roof Bricks Parts Pack, 45Â°",,58,,4.75,,"True","0838-1","",""
4242,"839","1","Basic","Supplementaries","1980","Red Roof Bricks Parts Pack, 33Â°",,42,,4.75,,"True","0839-1","",""
4243,"840","1","Basic","Supplementaries","1980","Baseplate, Green",,1,,,,"False","","",""
4245,"841","1","Basic","Supplementaries","1980","Baseplates, Green and Yellow",,2,,,,"False","","",""
4249,"842","1","Basic","Supplementaries","1980","Baseplates, Red and Blue",,2,,,,"False","","",""
4254,"843","1","Basic","Supplementaries","1980","Baseplate, Grey",,1,,,,"False","","",""
4272,"845","1","Basic","Supplementaries","1992","Battery Motor, 9V",,27,,,,"True","0845-1","",""
4282,"846","1","Basic","Supplementaries","1992","Lighting Set, 9V",,39,,18,,"True","0846-1","",""
4301,"850","1","Technic","","1977","Fork-Lift Truck",,210,,,,"True","0850-1","",""
4312,"851","1","Technic","","1977","Tractor",,318,,,,"True","0851-1","",""
4323,"852","1","Technic","","1977","Helicopter",,364,,,,"True","0852-1","",""
4329,"853","1","Technic","","1977","Car Chassis",,601,,,,"True","0853-1","",""
4340,"854","1","Technic","","1978","Go-Kart",,206,,,,"True","0854-1","",""
4350,"855","1","Technic","","1978","Mobile Crane",,512,,,,"True","0855-1","",""
4361,"856","1","Technic","","1979","Bulldozer",,372,,,,"True","0856-1","",""
4372,"857","1","Technic","","1979","Motorbike with Sidecar",,409,,,,"True","0857-1","",""
4382,"858","1","Technic","","1980","Auto Engines",,242,,,,"True","8858-1","",""
4431,"870","1","Technic","Supplementary","1977","Technical Motor, 4.5 V",,22,,,,"True","0870-1","",""
4433,"871","1","Technic","Supplementary","1977","Supplementary Set",,78,,,,"True","0871-1","",""
4438,"872","1","Technic","Supplementary","1978","Two Gear Blocks",,77,,,,"True","0872-1","",""
4441,"874","1","Technic","Supplementary","1979","Yellow Beams with Connector Pegs",,38,,,,"True","0874-1","",""
4442,"875","1","Technic","Supplementary","1979","Red Beams with Connector Pegs",,38,,,,"True","0875-1","",""
4443,"876","1","Technic","Supplementary","1979","Blue Beams with Connector Pegs",,38,,,,"True","0876-1","",""
4444,"877","1","Technic","Supplementary","1979","Steering Gear Parts",,24,,,,"True","0877-1","",""
4453,"878","1","Technic","Supplementary","1979","Piston Parts",,52,,,,"True","0878-1","",""
4457,"879","1","Technic","Supplementary","1979","Gear Wheels with Chain Links",,87,,,,"True","0879-1","",""
4460,"880","1","Technic","Supplementary","1979","12 Volt Motor",,22,,,,"True","0880-1","",""
4492,"885","1","Space","Classic","1979","Space Scooter",1,20,,,,"True","0885-1","",""
4505,"886","1","Space","Classic","1979","Space Buggy",1,20,,,,"True","0886-1","",""
4514,"889","1","Space","Classic","1979","Radar Truck",1,29,,,,"True","0889-1","",""
4517,"890","1","Basic","Supplementaries","1981","Wind-Up Motor",,10,,,,"True","0890-1","",""
4518,"891","1","Space","Classic","1979","Two Seater Space Scooter",1,39,,,,"True","0891-1","",""
4519,"894","1","Space","Classic","1979","Mobile Ground Tracking Station",1,76,,,,"True","0894-1","",""
4520,"895","1","Basic","Supplementaries","1985","Wind-Up Motor",,10,,9.5,,"True","0895-1","",""
4521,"897","1","Space","Classic","1979","Mobile rocket launcher",2,76,,,,"True","0897-1","",""
7958,"900","1","Basic","","1973","Universal Motor Set",,32,,,,"False","","",""
4523,"901","1","Universal Building Set","","1976","Universal Motor Set",,31,,,,"True","0901-1","",""
8400,"906","1","Classic","","1969","Doors and hinges",,17,,,,"True","0906-1","",""
4524,"910","1","Basic","","1976","Advanced Basic Set, 6+",3,283,,,,"True","0910-1","",""
4525,"911","1","Basic","","1976","Advanced Basic Set, 6+",4,401,,,,"True","0911-1","",""
4526,"912","1","Basic","","1976","Advanced Basic Set with Motor, 6+",3,471,,,,"True","0912-1","",""
4527,"918","1","Space","Classic","1979","One Man Space Ship",1,86,,,,"True","0918-1","",""
4528,"920","1","Space","Classic","1979","Rocket Launch Pad",,186,,280,,"True","0920-1","",""
4529,"924","1","Space","Classic","1979","Space Transporter",2,170,,,,"True","0924-1","",""
4530,"926","1","Space","Classic","1979","Command Centre",4,173,,,,"True","0926-1","",""
4532,"928","1","Space","Classic","1979","Space Cruiser And Moonbase",4,338,,,,"True","0928-1","",""
4534,"930","1","Basic","Supplementaries","1973","Red Bricks",,45,0.52,,,"True","0930-1","",""
4536,"931","1","Basic","Supplementaries","1973","White Bricks",,45,0.52,,,"True","0931-1","",""
4537,"932","1","Basic","Supplementaries","1973","Blue and Yellow Bricks",,45,0.52,,,"True","0932-1","",""
4538,"933","1","Basic","Supplementaries","1973","Doors and Windows",,38,0.52,,,"True","0933-1","",""
4539,"934","1","Basic","Supplementaries","1973","Roof Bricks, 45Â°",,55,0.52,,,"True","0934-1","",""
4540,"935","1","Basic","Supplementaries","1973","Roof Bricks, 33Â°",,43,0.52,,,"True","0935-1","",""
4541,"936","1","Basic","Supplementaries","1973","Wheels and Tyres",,20,0.52,,,"True","0936-1","",""
4542,"937","1","Basic","Supplementaries","1973","Doors and Fences",,34,0.52,,,"True","0937-1","",""
4543,"938","1","Basic","Supplementaries","1973","Hinges and Turntables",,17,0.52,,,"True","0938-1","",""
4544,"939","1","Basic","Supplementaries","1973","Flags, Trees and Road Signs",,19,0.52,,,"True","0939-1","",""
7945,"940","1","Basic","Supplementaries","1973","Flags, Signs and Trees",,33,,,,"True","0940-1","",""
7946,"941","1","Basic","Supplementaries","1974","Black and Clear Bricks",,48,,,,"True","0941-1","",""
4545,"948","1","Technic","","1978","Go-Kart",,206,,22,,"True","0854-1","",""
4546,"950","1","Technic","","1979","Forklift",,208,,,,"True","0850-1","",""
4547,"951","1","Technic","","1979","Bulldozer",,372,,,,"True","0856-1","",""
4548,"952","1","Technic","","1978","Farm Tractor",,316,,,,"True","0851-1","",""
4549,"954","1","Technic","","1978","Sky Copter",,365,,,,"True","0852-1","",""
4550,"955","1","Technic","","1979","Mobile Crane",,512,,,,"True","0855-1","",""
4551,"956","1","Technic","","1978","Auto Chassis",,599,,,,"True","0853-1","",""
4552,"960","1","Technic","Supplementary","1978","Power Pack",,22,,,,"True","0870-1","",""
4553,"961","1","Technic","Supplementary","1978","Parts Pack",,78,,,,"True","0871-1","",""
4554,"970","1","Basic","Supplementaries","1978","Lighting Bricks",,17,,8.75,,"True","0970-1","",""
8650,"985","1","Basic","Supplementaries","1969","Lamp Brick & Accessories",,4,,,,"False","","",""
8401,"990","2","Classic","","1969","Trees and signs",,13,,,,"True","0990-1","",""
8402,"995","1","Classic","","1969","Lighting set",,23,,,,"True","0995-1","",""
7812,"1000","1","Dacta","","1986","Mosaic Set",,191,,46.75,,"True","1000-1","",""
7813,"1011","1","Dacta","","1976","LEGO Number/Symbol Blocks",,100,,32,,"True","1011-1","",""
7814,"1012","1","Dacta","","1984","Mosaic Set",,,,,,"True","1012-1","",""
7815,"1013","1","Dacta","","1985","Numbers - 6 symbols",,,,,,"True","1013-1","",""
7816,"1014","2","Dacta","","1986","Mosaic Set (Pets: dogs, cats, hens, rabbits)",,80,,29.15,,"True","1014-2","",""
7817,"1015","1","Dacta","","1985","Letters Large",,192,,,,"True","1015-1","",""
7818,"1016","1","Dacta","","1985","Letter Bricks for Wall Board",,,,,,"True","1016-1","",""
7819,"1017","1","Dacta","","1976","Letter Bricks for Wall Board",,,,48,,"False","","",""
7820,"1018","1","Dacta","","1985","Letters Small",,,,,,"True","1018-1","",""
7821,"1019","1","Dacta","","1986","Mosaic Set (Lion)",,20,,8.25,,"True","1019-1","",""
7822,"1020","1","Dacta","","1986","Basic Bricks - 90 elements",,86,,,,"True","1020-1","",""
7823,"1021","1","Dacta","","1986","Basic Vehicles - 78 elements",12,94,,,,"True","1021-1","",""
7824,"1022","1","Dacta","","1986","Mini Basic Bricks - 29 elements",2,29,,,,"True","1022-1","",""
7825,"1023","1","Dacta","","1986","Giant Red Baseplate",,1,,,,"False","","",""
7826,"1024","1","Dacta","","1985","Animals - 32 elements",,32,,,,"False","","",""
7827,"1025","1","Dacta","","1985","Figures and Furniture",6,35,,,,"True","1025-1","",""
7828,"1026","1","Dacta","","1985","Play Boxes from 2 yrs",,2,,,,"True","1026-1","",""
7829,"1027","1","Dacta","","1985","Vehicles",6,30,,,,"True","1027-1","",""
7830,"1028","1","Dacta","","1986","6 x 12 Base Bricks",,6,,,,"True","1028-1","",""
122,"1029","1","Town","Special","1999","Milk Delivery Truck",1,95,,,,"True","1029-1","",""
5047,"1030","1","Dacta","Technic","1985","Technic I Simple Machines Set",,179,,75,,"True","1030-1","",""
7831,"1031","1","Dacta","","1983","Building Cards - 1030",,20,,15.75,,"False","","",""
5048,"1032","1","Dacta","Technic","1984","Technic II Powered Machines Set",,278,,80,,"True","1032-1","",""
7832,"1033","1","Dacta","","1985","Building Cards - 1032",,20,,,,"False","","",""
5049,"1034","1","Dacta","Technic","1985","Teachers Resource Set",,1501,,,,"True","1034-1","",""
5016,"1038","1","Dacta","Technic","1985","Universal Buggy",,119,,,,"True","1038-1","",""
7833,"1039","1","Dacta","","1986","Manual Control Set 1",,46,,,,"True","1039-1","",""
7834,"1040","1","Dacta","","1991","Farm",4,89,,,,"False","","",""
5050,"1040","2","Dacta","","1986","Farm Set",4,82,,,,"True","1040-2","",""
7835,"1041","1","Dacta","","1986","Harbour",6,77,,,,"True","1041-1","",""
7836,"1041","2","Dacta","","1980","Educational Duplo Building Set",,68,,36.5,,"True","1041-2","",""
7837,"1042","1","Dacta","","1986","Community People",12,12,,,,"True","1042-1","",""
5051,"1043","1","Dacta","","1986","Farm Animals Set",,30,,,,"True","1043-1","",""
7838,"1044","1","Dacta","","1986","Community Vehicles",6,33,,,,"True","1044-1","",""
7839,"1045","1","Dacta","","1986","Industrial Elements",,20,,,,"True","1045-1","",""
7840,"1045","2","Dacta","","1976","Educational LEGO Building Set",,683,,38.5,,"False","","",""
7841,"1046","1","Dacta","","1986","Train Set",6,61,,,,"True","1046-1","",""
7843,"1047","1","Dacta","","1986","Extra Track",,12,,,,"True","1047-1","",""
7844,"1048","1","Dacta","","1986","Bridge and Crossing Tracks",,12,,,,"True","1048-1","",""
7845,"1049","1","Dacta","","1985","Ships",3,241,,,,"True","1049-1","",""
7846,"1050","1","Dacta","","1986","Basic Pack",,,,,,"True","1050-1","",""
7842,"1050","2","Dacta","","1980","Unversal set for boys and girls",,,,,,"True","1050-2","",""
7847,"1051","1","Dacta","","1984","Basic Pack",,,,,,"True","1051-1","",""
7848,"1052","1","Dacta","","1984","{Spare Elements}",,,,,,"True","1052-1","",""
7849,"1053","1","Dacta","","1984","Community Buildings",,914,,,,"True","1053-1","",""
124,"1054","1","Promotional","Ferries","1999","Stena Line Ferry",,212,,,,"True","1054-1","",""
7850,"1055","1","Dacta","","1983","Mini Basic Pack",,,,,,"False","","",""
7851,"1056","1","Dacta","","1985","Basic School Pack - Topical/Thematic work",,809,,,,"True","1056-1","",""
7852,"1060","1","Dacta","","1981","Road Plates and Signs",,30,,,,"True","1060-1","",""
126,"1061","1","Technic","Slizer","1999","Single Disc Pack",,1,,,,"True","1061-1","",""
7853,"1062","1","Dacta","","1980","{Town Vehicles}",6,172,,,,"True","1062-1","",""
6512,"1063","1","Dacta","Town","1985","Community Workers",24,115,,,,"True","1063-1","",""
7854,"1064","1","Dacta","","1981","Dacta Buildings",,,,,,"True","1064-1","",""
7855,"1065","1","Dacta","","1985","House Accessories",,184,,,,"True","1065-1","",""
6513,"1066","1","Dacta","Town","1982","Little People with Accessories",36,174,,,,"True","1066-1","",""
7856,"1067","1","Dacta","","1988","Community Vehicles",14,203,,,,"True","1067-1","",""
127,"1068","1","Town","Extreme Team","1999","Air Patrol",1,20,,,,"True","1068-1","",""
128,"1069","1","Town","Res-Q","1999","Speedboat",1,22,,,,"True","1069-1","",""
131,"1070","1","Town","Extreme Team","1999","Stunt Flyer",1,20,,3,,"True","1070-1","",""
7857,"1071","1","Dacta","","1986","Bricks 2 x 2 and 2 x 4",,56,,,,"True","1071-1","",""
7858,"1072","1","Dacta","","1979","Supplementary LEGO Set",,304,,16.3,,"True","1072-1","",""
6131,"1074","1","Dacta","Supplementary Set","1976","House Accessories",,204,,,,"True","1074-1","",""
7859,"1075","1","Dacta","","1980","LEGO People Supplementary Set",,304,,14.5,,"True","1075-1","",""
132,"1076","1","Basic","Seasonal","1999","Advent Calendar",1,229,,,,"True","1076-1","",""
7860,"1076","2","Dacta","","1980","LEGO Car and Truck Supplementary Set",,,,14.5,,"False","","",""
7861,"1077","1","Dacta","","1976","Supplementary Set",,198,,,,"True","1077-1","",""
7862,"1078","1","Dacta","","1987","Animal Mosaic Puzzle",,80,,,,"True","1078-1","",""
7863,"1079","1","Dacta","","1987","Animal Mosaic Puzzle",,80,,,,"True","1079-1","",""
7864,"1082","1","Dacta","","1982","Roof Bricks",,336,,,,"True","1082-1","",""
7865,"1083","1","Dacta","","1986","Supplementary Pack",,128,,,,"True","1083-1","",""
7866,"1083","2","Dacta","","1979","50 x 50 LEGO Gray Baseplate",,1,,10,,"False","","",""
7867,"1084","1","Dacta","","1984","{Spare Elements - Structures}",,,,,,"True","1084-1","",""
7868,"1085","1","Dacta","","1985","Large Baseplate 48 x 48",,1,,,,"False","","",""
133,"1086","1","Duplo","","2000","DUPLO Bucket",,48,,,,"True","1086-1","",""
7869,"1087","1","Dacta","","1985","6 Lego Baseplates 8 x 16 Green",,6,,,,"True","1087-1","",""
134,"1088","1","Town","Extreme Team","1999","Road Burner",,25,,,,"True","1088-1","",""
7870,"1089","1","Dacta","","1985","Lego Basic Figures",24,24,,,,"True","1089-1","",""
6516,"1090","1","Dacta","","1986","Technic Control 1",,404,,140,,"True","1090-1","",""
7871,"1091","1","Dacta","","1979","Lego Educational Storage Cloth",,1,,10,,"True","1091-1","",""
7872,"1092","1","Dacta","","1986","Technic Control II",,463,,191,,"True","1092-1","",""
135,"1094","1","Adventurers","Desert","1999","Johnny Thunder",1,13,,,,"True","1094-1","",""
136,"1095","1","Aquazone","Hydronauts","1999","Super Sub",1,24,,3,,"True","1095-1","",""
137,"1096","1","Town","Extreme Team","1999","Race Buggy",1,23,,,,"True","1096-1","",""
138,"1097","1","Town","Res-Q","1999","Res-Q Runner",1,18,,2,,"True","1097-1","",""
139,"1098","1","Town","Extreme Team","1999","Hang Glider",1,19,,,,"True","1098-1","",""
140,"1099","1","Castle","Ninja","1999","Ninja Blaster",1,24,,2,,"True","1099-1","",""
142,"1100","1","Town","Special","2001","Sky Pirates",2,109,,17,,"True","1100-1","",""
143,"1101","1","Service Packs","","1980","Replacement 4.5V Motor",,1,,5.65,,"False","","",""
144,"1102","1","Service Packs","","1980","Four Motor Wheel Bushes",,4,,,,"False","","",""
145,"1103","1","Service Packs","","1980","Battery Box",,1,,,,"False","","",""
146,"1104","1","Service Packs","","1980","Two Connector Leads",,2,,,,"False","","",""
147,"1105","1","Service Packs","","1980","Two Rubber Crawler Tracks",,2,,,,"False","","",""
148,"1106","1","Service Packs","Trains","1980","Battery Tender for Trains",,2,,,,"False","","",""
149,"1106","2","Basic","","1999","Basic Building Set, 5+",2,411,,,,"True","1106-2","",""
150,"1107","1","Service Packs","Trains","1980","Two Shunting Trip-Posts and One Signal",,4,,,,"False","","",""
151,"1108","1","Service Packs","Trains","1980","Two Pairs of Magnetic Couplings",,4,,,,"False","","",""
153,"1110","1","Service Packs","Trains","1980","Four Locomotive Wheels",,8,,,,"False","","",""
154,"1111","1","Service Packs","Trains","1980","Eight Rubber Rims for Locomotive Wheels",,8,,,,"False","","",""
155,"1113","1","Service Packs","","1980","Motor Frame 6 x 16 Stud Plus Four Buffers",,5,,,,"False","","",""
156,"1114","1","Service Packs","","1980","Motor Frame 6 x 22 Stud",,1,,,,"False","","",""
157,"1115","1","Service Packs","","1980","Lighting Brick, 4.5V",,1,,,,"False","","",""
158,"1119","1","Service Packs","Trains","1980","Two Locomotive Piston Assemblies",,6,,,,"False","","",""
160,"1120","1","Service Packs","","1980","Two Tyres, 42 mm Diameter",,2,,,,"False","","",""
161,"1121","1","Service Packs","","1980","Propellors, Wheels and Rotor Unit",,15,,13,,"False","","",""
162,"1122","1","Service Packs","","1980","Hinge Units",,3,,,,"False","","",""
163,"1123","1","Service Packs","","1980","Ball and Socket Couplings & One Articulated Joint",,8,,16,,"False","","",""
164,"1124","1","Service Packs","","1980","Digger Bucket Assembly",,3,,,,"False","","",""
165,"1125","1","Service Packs","","1980","Crane Grab Assembly",,3,,,,"False","","",""
166,"1127","1","Seasonal","Christmas","1999","Santa",,39,,,,"True","1127-1","",""
167,"1128","1","Seasonal","Christmas","1999","Santa on Skis",,21,,14,,"True","1128-1","",""
168,"1129","1","Seasonal","Christmas","1999","Santa on Reindeer",,34,,14,,"True","1129-1","",""
169,"1129","2","Service Packs","","1980","Spread Bag",,34,,,,"False","","",""
171,"1130","1","Service Packs","","1980","Plastic Folder for Building Instructions",,1,,14,,"True","1130-1","",""
173,"1149","1","Town","Special","2002","Air Police",,24,,3,,"True","1149-1","",""
174,"1177","1","Town","Special","2000","Santa's Truck",1,27,,,,"True","1177-1","",""
175,"1180","1","Town","Space Port","1999","Space Port Moon Buggy",1,25,,,,"True","1180-1","",""
176,"1181","1","Town","Space Port","1999","Space Port Spacecraft",1,23,,,,"True","1181-1","",""
177,"1182","1","Adventurers","Desert","1999","Adventurers Raft",1,18,,,,"True","1182-1","",""
178,"1183","1","Adventurers","Desert","1999","Mummy and Cart",1,17,,,,"True","1183-1","",""
179,"1184","1","Castle","Ninja","1999","Cart",1,24,,,,"True","1184-1","",""
180,"1185","1","Castle","Ninja","1999","Raft",1,25,,2,,"True","1185-1","",""
181,"1186","1","Castle","Ninja","1999","Cart",1,25,,,,"True","1186-1","",""
182,"1187","1","Castle","Ninja","1999","Glider",1,23,,2,,"True","1187-1","",""
183,"1188","1","Town","Extreme Team","1999","Fire Formula",1,38,,,,"True","1188-1","",""
184,"1189","1","Town","Extreme Team","1999","Rocket Boat",1,30,,,,"True","1189-1","",""
185,"1190","1","Town","Extreme Team","1999","Retro Buggy",1,45,,,,"True","1190-1","",""
186,"1191","1","Town","Extreme Team","1999","Try Bird",1,34,,,,"True","1191-1","",""
187,"1192","1","Primo","","1999","Stack N' Learn Gift Box",2,38,,20,,"True","1192-1","",""
4999,"1193","1","Duplo","","1999","Water Park Tub ",2,44,,20,,"True","1193-1","",""
5000,"1194","1","Classic","","1999","Birthday Table Set",,400,,20,,"True","1194-1","",""
188,"1195","1","Space","Life On Mars","2001","Alien Encounter",2,42,,,,"True","1195-1","",""
189,"1196","1","Town","Telekom","2000","Telekom Race Cyclist",1,7,,,,"True","1196-1","",""
190,"1197","1","Town","Telekom","2000","Telekom Race Cyclist and Television Motorbike",3,26,,,,"True","1197-1","",""
191,"1198","1","Town","Telekom","2000","Telekom Race Cyclists and Service Crew",3,81,,,,"True","1198-1","",""
192,"1199","1","Town","Telekom","2000","Telekom Race Cyclists and Winners' Podium",8,129,,,,"True","1199-1","",""
193,"1202","1","Racers","Xalax","2001","Single Racers Figure Pack",,1,,,,"True","1202-1","",""
9119,"1209","1","Service Packs","","1982","{Fences and Gates}",,10,,,,"True","1209-1","",""
195,"1211","1","Service Packs","Space","1982","Space Stands and Brackets",,8,,2.25,,"False","","",""
196,"1237","1","Technic","","2001","Asimo Robot",,56,,,,"True","1237-1","",""
197,"1239","1","Racers","Xalax","2001","Subzero",,4,,,,"True","1239-1","",""
198,"1246","1","Town","City","1999","Helicopter",1,26,,1.7,,"True","1246-1","",""
199,"1247","1","Town","City","1999","Patrol Car",1,32,,1.7,,"True","1247-1","",""
200,"1248","1","Town","City","1999","Fire Boat",1,24,,1.7,,"True","1248-1","",""
201,"1249","1","Town","City","1999","Tri-motorbike",1,14,,1.7,,"True","1249-1","",""
202,"1250","1","Town","City","1999","Dragster",1,25,,1.7,,"True","1250-1","",""
203,"1251","1","Town","City","1999","Go-Cart",1,26,,1.7,,"True","1251-1","",""
204,"1252","1","Town","Shell","1999","Shell Tanker",1,107,,7,,"True","1252-1","",""
205,"1253","1","Town","Shell","1999","Shell Race Car Transporter",1,102,,6.25,,"True","1253-1","",""
206,"1254","1","Town","Shell","1999","Shell Convenience Store",3,159,,13,,"True","1254-1","",""
207,"1255","1","Town","Shell","1999","Shell Car Wash",2,137,,13,,"True","1255-1","",""
208,"1256","1","Town","Shell","1999","Shell Service Station",2,144,,20,,"True","1256-1","",""
209,"1257","1","Technic","","1999","Tricycle",,24,,,,"True","1257-1","5702012014321",""
210,"1258","1","Technic","","1999","Buggy",,29,,,,"True","1258-1","",""
211,"1259","1","Technic","","1999","Motorbike",,28,,,,"True","1259-1","",""
212,"1260","1","Technic","","1999","Car",,26,,,,"True","1260-1","",""
213,"1261","1","Duplo","Little Forest Friends","2000","Tea With Bumble Bee",2,10,,5,,"True","1261-1","",""
214,"1263","1","Seasonal","Easter","2000","Easter Bunny",,27,,3,,"True","1263-1","",""
215,"1264","1","Seasonal","Easter","2000","Easter Chicks",,26,,,,"True","1264-1","",""
216,"1265","1","Town","Space Port","2000","Moon Buggy",1,25,,3,,"True","1265-1","",""
217,"1266","1","Town","Space Port","1999","Space Probe",1,23,,,,"True","1266-1","",""
218,"1268","1","Technic","","2000","Bike Blaster",,28,,2,,"True","1268-1","","042884012687"
219,"1269","1","Castle","Ninja","1999","White Ninja",1,23,,3,,"True","1269-1","",""
9634,"1270","2","Creator","","2005","Trial Size Bag (Chromika Promotion)",,16,0,,,"True","1270-1","",""
220,"1271","1","Adventurers","Jungle","2000","Jungle Surprise",1,33,,2,,"True","1271-1","",""
221,"1272","1","Town","Race","2000","Blue Racer",1,23,,3.95,,"True","1272-1","",""
222,"1273","1","Town","Race","2000","Red Four Wheel Driver",1,20,,,,"True","1273-1","",""
223,"1274","1","Rock Raiders","Promotional","2000","Light Hover",1,25,,,,"True","1274-1","",""
